City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
483,mount gambier,35,BF,1588876033,22,11.1,-2.1,309.58,1.94
484,kjollefjord,20,TN,1588876147,82,37.19,10.18,292.15,3.6
485,bonnyville,100,RU,1588876104,94,65.85,44.24,274.78,1.76
486,nanortalik,89,RU,1588876148,80,53.75,127.27,276.01,2.05
487,vila,96,FR,1588876148,49,46.42,3.91,294.15,3.1
488,bilibino,40,AU,1588876148,93,-21.15,149.2,291.48,2.1
489,yenagoa,0,IN,1588876149,88,21.64,69.61,300.41,3.62
490,kemijarvi,40,MX,1588876149,74,19.22,-104.7,301.15,3.35
491,cienfuegos,27,GH,1588876011,81,4.88,-1.76,301.49,4.57
492,wanning,40,MY,1588876150,94,6.33,99.84,300.93,0.5
493,marshall,98,BR,1588876150,53,-2.87,-67.8,305.5,1.84
494,vestmannaeyjar,57,RU,1588876212,78,62.89,54.96,286.22,5.08
495,witney,0,TT,1588876212,65,10.18,-61.68,304.82,7.1
496,chipinge,55,VE,1588876212,34,9.35,-65.32,310.89,4.3
497,luena,8,JP,1588875988,84,24.8,125.28,296.97,6.91
498,qiongshan,40,BR,1588876213,79,-12.7,-38.32,302.15,3.6
499,viedma,20,PH,1588876214,83,18.17,120.6,299.15,1
500,requena,40,GE,1588876214,87,41.63,42.39,290.15,2.1
501,kalmunai,0,AR,1588876214,40,-26.62,-54.13,289.78,2.06
502,zhanaozen,1,ID,1588876215,82,-0.91,122.88,298.75,0.5
503,zhezkazgan,0,BW,1588876215,23,-26.02,22.4,292.69,2.58
504,huarmey,20,BR,1588876215,74,-7.26,-34.91,302.15,6.2
505,buala,75,BG,1588876216,87,43.95,27.28,283.15,2.1
506,dinsor,97,RU,1588876168,56,61.36,63.58,290.29,3.88
507,morrope,0,CL,1588876216,16,-31.63,-71.17,301.82,3.44
508,santa barbara,40,BR,1588876217,55,-29.68,-53.81,290.15,2.6
509,kon tum,0,PL,1588876217,100,54.04,19.03,284.82,1.68
510,mbanza-ngungu,90,US,1588876217,71,41.28,-70.1,284.15,6.2
511,bengkulu,40,US,1588876218,42,36.29,-76.25,291.48,5.7
512,chumikan,100,RU,1588876218,99,69.3,139.9,267.36,1.86
513,kidal,62,AR,1588876200,56,-45.87,-67.5,295.15,1
514,portland,78,BR,1588876219,67,-9.17,-60.63,302.4,1.75
515,languyan,50,UA,1588876219,91,52.04,33.95,279.47,2.87
516,carndonagh,100,RU,1588875956,72,66,111.5,263.15,4
517,wulanhaote,7,NZ,1588875932,81,-43.53,172.63,287.59,1.5
518,lufilufi,55,ES,1588876220,66,42.78,-9.06,293.71,8.49
519,battonya,1,US,1588876190,13,39.47,-118.78,290.93,3.24
520,leh,64,PH,1588876220,76,6.37,126.17,301.77,2.82
521,sakakah,90,RU,1588876221,89,63.44,53.58,286.56,5.01
522,san carlos de bariloche,0,BW,1588876221,27,-19.67,22.27,292.33,3.72
523,carballo,0,PH,1588876221,84,8,124.29,299.26,1.34
524,maarianhamina,30,NZ,1588876222,89,-40.35,175.62,286.48,3.34
525,sisimiut,40,CV,1588876222,57,16.89,-24.98,299.15,13.9
526,bealanana,0,CN,1588876045,30,42.8,93.45,286.58,4.19
527,sembe,40,US,1588876153,65,21.44,-157.84,299.15,5.1
528,maridi,78,GL,1588876223,77,60.72,-46.03,278.22,2.4
529,avera,0,MR,1588876223,57,18.09,-15.98,299.15,11.3
530,sitka,100,CL,1588876223,77,-41.87,-73.82,288.71,3.6
531,leo,100,BR,1588876225,75,-8.9,-35.15,300.97,3.64
532,rafraf,100,UA,1588876225,87,48.5,30.94,281.63,6.84
533,mezen,37,NG,1588876226,18,11.85,13.16,306.29,3.82
534,zeya,7,AU,1588876226,93,-35.35,149.23,284.15,3.6
535,saint-francois,20,PH,1588876227,74,14.11,121.14,303.15,3.1
536,mackay,0,OM,1588876227,39,22.57,59.53,306.51,2.01
537,porbandar,100,LY,1588876228,86,32.77,22.64,292.18,9.82
538,san patricio,0,RU,1588876228,86,51.71,143.23,274.98,1.38
539,takoradi,8,IN,1588875948,46,33.32,75.77,284.86,2.64
540,kuah,68,BG,1588876229,66,44.05,26.62,288.71,4.94
541,tonantins,12,FO,1588876229,75,62.16,-7.17,281.15,5.1
542,kizema,75,AU,1588876219,83,-16.92,145.77,295.15,5.1
543,voyvozh,20,US,1588876155,40,64.86,-147.8,288.15,1.5
544,point fortin,0,PH,1588876232,82,7.71,122.14,299.95,1.46
545,zaraza,67,RU,1588876213,85,65.53,72.52,278.68,4.69
546,hirara,98,SB,1588876232,77,-8.1,156.84,300.86,2.26
547,camacari,75,US,1588876123,27,37.34,-121.89,300.93,1.5
548,san nicolas,60,BR,1588876234,83,-2.5,-66.27,302.51,1.58
549,dioknisi,1,US,1588876225,34,36.68,-101.48,299.15,5.1
550,san vicente,100,RU,1588876196,99,67.68,53.15,277.12,3
551,biak,40,ID,1588876235,100,3.57,98.96,298.15,1.5
552,tsabong,40,MX,1588876235,40,18.57,-98.45,297.04,2.53
553,conde,99,JP,1588876232,80,33.73,135.98,285.23,2.31
554,alfatar,34,CF,1588876236,72,7.24,16.44,297.27,1.81
